STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_resid,Country of residence,terrtypo,Territorial typology,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CH,Switzerland,2024,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2012,,14576573,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2013,,14048528,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2014,,13715342,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2015,,12922422,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2016,,14863029,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2017,,16262242,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2018,,16632121,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2019,,17008099,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2020,,3425406,,,,,
