DATAFLOW,LAST UPDATE,freq,c_resid,terrtypo,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Germany,2023,81565150,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Germany,2024,85296166,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2012,25463303,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2013,25903745,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2014,27027381,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2015,28076340,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2016,29085410,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2017,29266628,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2018,30396126,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2019,31339817,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2020,21771215,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2021,26308296,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2022,35170285,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2023,35701307,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Denmark,2024,36503865,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Estonia,2012,4396921,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Estonia,2013,4512256,,
